Date,Value
06/06/2012,14.2319
07/06/2012,14.1116
08/06/2012,13.9355
09/06/2012,N/E
10/06/2012,N/E
11/06/2012,14.0351
12/06/2012,13.9625
13/06/2012,14.0060
14/06/2012,13.9700
15/06/2012,13.9974
16/06/2012,N/E
17/06/2012,N/E
18/06/2012,13.9115
19/06/2012,13.9154
20/06/2012,13.7033
21/06/2012,13.7257
22/06/2012,13.7668
23/06/2012,N/E
24/06/2012,N/E
25/06/2012,13.8490
26/06/2012,13.9542
27/06/2012,13.8616
28/06/2012,13.6652
29/06/2012,13.6530
30/06/2012,N/E
01/07/2012,N/E
02/07/2012,13.4084
03/07/2012,13.3970
04/07/2012,13.3174
05/07/2012,13.3617
06/07/2012,13.3508
07/07/2012,N/E
08/07/2012,N/E
09/07/2012,13.4925
10/07/2012,13.4533
11/07/2012,13.2924
12/07/2012,13.3241
13/07/2012,13.4795
14/07/2012,N/E
15/07/2012,N/E
16/07/2012,13.3449
17/07/2012,13.2832
18/07/2012,13.2226
19/07/2012,13.1201
20/07/2012,13.1921
21/07/2012,N/E
22/07/2012,N/E
23/07/2012,13.2928
24/07/2012,13.5218
25/07/2012,13.6796
26/07/2012,13.6541
27/07/2012,13.4425
28/07/2012,N/E
29/07/2012,N/E
30/07/2012,13.2837
31/07/2012,13.2644
01/08/2012,13.2833
02/08/2012,13.2867
03/08/2012,13.3927
04/08/2012,N/E
05/08/2012,N/E
06/08/2012,13.1357
07/08/2012,13.0708
08/08/2012,13.1849
09/08/2012,13.1891
10/08/2012,13.1188
11/08/2012,N/E
12/08/2012,N/E
13/08/2012,13.1094
14/08/2012,13.1474
15/08/2012,13.1311
16/08/2012,13.1639
17/08/2012,13.1430
18/08/2012,N/E
19/08/2012,N/E
20/08/2012,13.1745
21/08/2012,13.1261
22/08/2012,13.0854
23/08/2012,13.1762
24/08/2012,13.1284
25/08/2012,N/E
26/08/2012,N/E
27/08/2012,13.1760
28/08/2012,13.1703
29/08/2012,13.1847
30/08/2012,13.2746
31/08/2012,13.4172
01/09/2012,N/E
02/09/2012,N/E
03/09/2012,13.2571
04/09/2012,13.1910
05/09/2012,13.1793
06/09/2012,13.1221
07/09/2012,13.0483
08/09/2012,N/E
09/09/2012,N/E
10/09/2012,12.9976
11/09/2012,12.9921
12/09/2012,12.9992
13/09/2012,13.0305
14/09/2012,12.9749
15/09/2012,N/E
16/09/2012,N/E
17/09/2012,12.7458
18/09/2012,12.7492
19/09/2012,12.8192
20/09/2012,12.8235
21/09/2012,12.9042
22/09/2012,N/E
23/09/2012,N/E
24/09/2012,12.8376
25/09/2012,12.9123
26/09/2012,12.8233
27/09/2012,12.9170
28/09/2012,12.8521
29/09/2012,N/E
30/09/2012,N/E
01/10/2012,12.8695
02/10/2012,12.8178
03/10/2012,12.8375
04/10/2012,12.8528
05/10/2012,12.7589
06/10/2012,N/E
07/10/2012,N/E
08/10/2012,12.6987
09/10/2012,12.8426
10/10/2012,12.8680
11/10/2012,12.9119
12/10/2012,12.8792
13/10/2012,N/E
14/10/2012,N/E
15/10/2012,12.8901
16/10/2012,12.8188
17/10/2012,12.8077
18/10/2012,12.7981
19/10/2012,12.8299
20/10/2012,N/E
21/10/2012,N/E
22/10/2012,12.8551
23/10/2012,12.8571
24/10/2012,12.9759
25/10/2012,12.9839
26/10/2012,12.9669
27/10/2012,N/E
28/10/2012,N/E
29/10/2012,13.0112
30/10/2012,13.0900
31/10/2012,13.0498
01/11/2012,13.0911
02/11/2012,13.0387
03/11/2012,N/E
04/11/2012,N/E
05/11/2012,N/E
06/11/2012,13.0449
07/11/2012,12.9769
08/11/2012,13.0432
09/11/2012,13.1168
10/11/2012,N/E
11/11/2012,N/E
12/11/2012,13.1789
13/11/2012,13.1975
14/11/2012,13.2284
15/11/2012,13.2353
16/11/2012,13.2522
17/11/2012,N/E
18/11/2012,N/E
19/11/2012,13.2063
20/11/2012,N/E
21/11/2012,13.0245
22/11/2012,13.0395
23/11/2012,13.0188
24/11/2012,N/E
25/11/2012,N/E
26/11/2012,12.9799
27/11/2012,12.9984
28/11/2012,12.9861
29/11/2012,13.0372
30/11/2012,12.9617
01/12/2012,N/E
02/12/2012,N/E
03/12/2012,12.9268
04/12/2012,12.9335
05/12/2012,12.9600
06/12/2012,12.9284
07/12/2012,12.9102
08/12/2012,N/E
09/12/2012,N/E
10/12/2012,12.8469
11/12/2012,12.7964
12/12/2012,12.7584
13/12/2012,N/E
14/12/2012,12.7869
15/12/2012,N/E
16/12/2012,N/E
17/12/2012,12.7768
18/12/2012,12.7624
19/12/2012,12.7236
20/12/2012,12.7327
21/12/2012,12.7777
22/12/2012,N/E
23/12/2012,N/E
24/12/2012,12.8991
25/12/2012,12.9764
26/12/2012,N/E
27/12/2012,13.0058
28/12/2012,13.0101
29/12/2012,N/E
30/12/2012,N/E
31/12/2012,12.9880
01/01/2013,12.9658
02/01/2013,N/E
03/01/2013,12.7488
04/01/2013,12.7430
05/01/2013,N/E
06/01/2013,N/E
07/01/2013,12.7597
08/01/2013,12.7679
09/01/2013,12.8015
10/01/2013,12.7503
11/01/2013,12.6555
12/01/2013,N/E
13/01/2013,N/E
14/01/2013,12.6478
15/01/2013,12.6533
16/01/2013,12.6526
17/01/2013,12.6305
18/01/2013,12.5868
19/01/2013,N/E
20/01/2013,N/E
21/01/2013,12.6555
22/01/2013,12.7098
23/01/2013,12.6817
24/01/2013,12.6616
25/01/2013,12.6286
26/01/2013,N/E
27/01/2013,N/E
28/01/2013,12.6993
29/01/2013,12.7802
30/01/2013,12.7134
31/01/2013,12.7408
01/02/2013,12.7094
02/02/2013,N/E
03/02/2013,N/E
04/02/2013,12.6377
05/02/2013,N/E
06/02/2013,12.6294
07/02/2013,12.6664
08/02/2013,12.7105
09/02/2013,N/E
10/02/2013,N/E
11/02/2013,12.7307
12/02/2013,12.7706
13/02/2013,12.7364
14/02/2013,12.7116
15/02/2013,12.6982
16/02/2013,N/E
17/02/2013,N/E
18/02/2013,12.6866
19/02/2013,12.6959
20/02/2013,12.6873
21/02/2013,12.6694
22/02/2013,12.7699
23/02/2013,N/E
24/02/2013,N/E
25/02/2013,12.7517
26/02/2013,12.7028
27/02/2013,12.8680
28/02/2013,12.8322
01/03/2013,12.7795
02/03/2013,N/E
03/03/2013,N/E
04/03/2013,12.8012
05/03/2013,12.7814
06/03/2013,12.7355
07/03/2013,12.7345
08/03/2013,12.7839
09/03/2013,N/E
10/03/2013,N/E
11/03/2013,12.6684
12/03/2013,12.5308
13/03/2013,12.4641
14/03/2013,12.3967
15/03/2013,12.4545
16/03/2013,N/E
17/03/2013,N/E
18/03/2013,12.4390
19/03/2013,N/E
20/03/2013,12.4339
21/03/2013,12.3909
22/03/2013,12.3841
23/03/2013,N/E
24/03/2013,N/E
25/03/2013,12.3724
26/03/2013,12.3579
27/03/2013,12.3546
28/03/2013,12.3612
29/03/2013,N/E
30/03/2013,N/E
31/03/2013,N/E
01/04/2013,N/E
02/04/2013,12.3438
03/04/2013,12.2728
04/04/2013,12.3266
05/04/2013,12.3197
06/04/2013,N/E
07/04/2013,N/E
08/04/2013,12.2383
09/04/2013,12.1588
