Date,montoSpei,montoCodi,tc
2/12/2022,"616,263,212,052","17,850,399",19.1433
3/12/2022,"17,066,920,512","6,948,329",N/E
4/12/2022,"8,736,165,120","4,373,659",N/E
5/12/2022,"678,751,524,153","11,277,474",19.3422
6/12/2022,"542,525,154,967","10,736,777",19.7567
7/12/2022,"652,577,126,857","10,437,818",19.803
8/12/2022,"659,240,860,611","11,459,538",19.6977
9/12/2022,"701,082,000,325","14,299,342",19.6732
10/12/2022,"20,146,746,929","7,742,436",N/E
11/12/2022,"8,999,623,050","4,020,762",N/E
12/12/2022,"31,536,621,326","7,732,786",N/E
13/12/2022,"796,529,937,680","11,171,391",19.8192
14/12/2022,"710,760,106,482","10,999,981",19.6458
15/12/2022,"842,126,908,214","13,540,766",19.6955
16/12/2022,"785,048,552,088","20,486,332",19.7963
17/12/2022,"22,034,077,030","7,431,158",N/E
18/12/2022,"10,085,538,142","4,210,198",N/E
19/12/2022,"785,862,031,327","10,439,669",19.7932
20/12/2022,"640,633,595,023","9,916,798",19.7557
21/12/2022,"718,554,547,925","9,737,538",19.7482
22/12/2022,"634,360,499,149","10,331,514",19.6932
23/12/2022,"622,148,728,603","12,521,404",19.574
24/12/2022,"15,446,327,951","5,558,017",N/E
25/12/2022,"5,282,512,414","1,961,313",N/E
26/12/2022,"513,720,765,309","7,320,826",19.4287
27/12/2022,"574,838,266,350","7,400,432",19.3983
28/12/2022,"605,493,186,395","8,720,821",19.4407
29/12/2022,"689,185,769,376","10,407,233",19.4143
30/12/2022,"801,892,928,867","24,236,665",19.3615
31/12/2022,"23,639,721,428","8,226,838",N/E
1/1/2023,"7,172,582,580","2,901,151",N/E
2/1/2023,"523,672,195,558","10,314,416",19.4715
3/1/2023,"483,498,686,796","9,576,293",19.4883
4/1/2023,"449,236,115,713","9,018,789",19.422
5/1/2023,"489,374,159,135","9,359,611",19.3568
6/1/2023,"493,899,992,931","11,229,517",19.3672
7/1/2023,"14,893,055,680","6,032,425",N/E
