Date,relacion mont/num,tc,montoSpei,numSpei
28/07/2010,"748,284",12.6469,"160,561,526,813","214,573"
29/07/2010,"684,535",12.6798,"188,742,061,400","275,723"
30/07/2010,"474,034",12.7038,"222,003,861,170","468,329"
31/07/2010,#VALOR!,N/E,N/E,N/E
1/8/2010,#VALOR!,N/E,N/E,N/E
2/8/2010,"703,836",12.6455,"170,387,324,442","242,084"
3/8/2010,"743,578",12.5728,"153,799,363,021","206,837"
4/8/2010,"643,362",12.6048,"143,508,390,342","223,060"
5/8/2010,"658,655",12.5535,"155,932,055,751","236,743"
6/8/2010,"532,681",12.5367,"162,724,956,193","305,483"
7/8/2010,#VALOR!,N/E,N/E,N/E
8/8/2010,#VALOR!,N/E,N/E,N/E
9/8/2010,"746,530",12.655,"163,916,263,006","219,571"
10/8/2010,"811,811",12.6461,"182,305,986,639","224,567"
11/8/2010,"792,595",12.6927,"156,801,495,616","197,833"
12/8/2010,"727,866",12.7432,"174,013,217,431","239,073"
13/08/2010,"396,040",12.7258,"168,607,407,087","425,733"
14/08/2010,#VALOR!,N/E,N/E,N/E
15/08/2010,#VALOR!,N/E,N/E,N/E
16/08/2010,"591,297",12.7256,"161,380,232,532","272,926"
17/08/2010,"806,949",12.6458,"178,980,581,528","221,799"
18/08/2010,"734,021",12.5944,"152,683,013,925","208,009"
19/08/2010,"700,039",12.6073,"149,250,373,924","213,203"
20/08/2010,"513,129",12.7226,"154,919,237,521","301,911"
21/08/2010,#VALOR!,N/E,N/E,N/E
22/08/2010,#VALOR!,N/E,N/E,N/E
23/08/2010,"836,198",12.7683,"182,616,386,398","218,389"
24/08/2010,"899,223",12.8492,"181,513,480,376","201,856"
25/08/2010,"967,205",12.936,"204,251,462,538","211,177"
26/08/2010,"939,964",13.0453,"213,238,427,228","226,858"
27/08/2010,"586,631",12.984,"198,660,333,011","338,646"
28/08/2010,#VALOR!,N/E,N/E,N/E
29/08/2010,#VALOR!,N/E,N/E,N/E
30/08/2010,"757,464",13.0148,"241,461,995,529","318,777"
31/08/2010,"665,434",13.1367,"255,108,889,031","383,372"
1/9/2010,"977,903",13.1676,"213,162,424,272","217,979"
2/9/2010,"905,760",13.0538,"198,816,126,975","219,502"
3/9/2010,"610,545",13.055,"212,180,810,225","347,527"
4/9/2010,#VALOR!,N/E,N/E,N/E
5/9/2010,#VALOR!,N/E,N/E,N/E
6/9/2010,"770,437",12.9526,"184,190,595,715","239,073"
7/9/2010,"913,694",12.9395,"201,538,056,152","220,575"
8/9/2010,"948,973",13.0566,"195,397,303,798","205,904"
9/9/2010,"906,843",13.0034,"208,945,695,618","230,410"
10/9/2010,"622,682",12.9853,"211,419,929,898","339,531"
11/9/2010,1,N/E,2,2
12/9/2010,#VALOR!,N/E,N/E,N/E
13/09/2010,"836,865",12.9616,"225,091,630,692","268,970"
14/09/2010,"620,889",12.8729,"228,816,371,187","368,530"
15/09/2010,"462,052",12.8355,"167,255,781,105","361,985"
16/09/2010,#VALOR!,12.7793,N/E,N/E
17/09/2010,#VALOR!,N/E,N/E,N/E
18/09/2010,#VALOR!,N/E,N/E,N/E
19/09/2010,#VALOR!,N/E,N/E,N/E
20/09/2010,"739,091",N/E,"249,724,171,793","337,880"
21/09/2010,"870,585",12.7623,"206,471,533,316","237,164"
22/09/2010,"969,279",12.7594,"207,102,848,992","213,667"
23/09/2010,"893,370",12.6886,"206,404,162,814","231,040"
24/09/2010,"689,783",12.6422,"227,582,766,367","329,934"
25/09/2010,#VALOR!,N/E,N/E,N/E
26/09/2010,1,N/E,2,2
27/09/2010,"968,968",12.5491,"236,684,995,914","244,265"
28/09/2010,"797,029",12.5168,"191,942,899,737","240,823"
29/09/2010,"797,952",12.5011,"244,460,550,375","306,360"
30/09/2010,"651,077",12.4801,"296,325,961,164","455,132"
1/10/2010,"725,881",12.5998,"228,644,632,951","314,989"
2/10/2010,#VALOR!,N/E,N/E,N/E
3/10/2010,#VALOR!,N/E,N/E,N/E
4/10/2010,"739,100",12.5511,"190,201,482,838","257,342"
5/10/2010,"776,806",12.5875,"201,833,635,796","259,825"
6/10/2010,"789,403",12.5099,"180,819,816,908","229,059"
7/10/2010,"794,418",12.4779,"196,511,269,088","247,365"
8/10/2010,"546,873",12.5277,"192,016,470,297","351,117"
9/10/2010,1,N/E,3,3
10/10/2010,#VALOR!,N/E,N/E,N/E
11/10/2010,"697,948",12.4895,"173,283,689,840","248,276"
12/10/2010,"1,060,350",12.4224,"224,815,401,397","212,020"
13/10/2010,"901,609",12.432,"200,345,710,961","222,209"
14/10/2010,"769,985",12.3683,"230,612,133,280","299,502"
15/10/2010,"429,239",12.4101,"199,143,946,878","463,946"
16/10/2010,#VALOR!,N/E,N/E,N/E
17/10/2010,#VALOR!,N/E,N/E,N/E
18/10/2010,"774,473",12.4276,"215,930,037,663","278,809"
19/10/2010,"785,500",12.4135,"178,395,741,613","227,111"
20/10/2010,"799,962",12.4818,"194,757,851,718","243,459"
21/10/2010,"780,940",12.4117,"185,170,283,199","237,112"
22/10/2010,"588,861",12.3613,"195,228,046,732","331,535"
23/10/2010,#VALOR!,N/E,N/E,N/E
24/10/2010,#VALOR!,N/E,N/E,N/E
25/10/2010,"771,732",12.3877,"196,349,503,205","254,427"
26/10/2010,"877,313",12.3205,"201,843,429,896","230,070"
27/10/2010,"842,766",12.3859,"200,686,203,965","238,128"
28/10/2010,"776,707",12.4776,"237,417,652,773","305,672"
29/10/2010,"533,114",12.4023,"283,220,531,437","531,257"
30/10/2010,#VALOR!,N/E,N/E,N/E
31/10/2010,#VALOR!,N/E,N/E,N/E
1/11/2010,"668,856",12.3387,"184,594,860,651","275,986"
2/11/2010,#VALOR!,12.3452,N/E,N/E
3/11/2010,"696,825",N/E,"203,434,615,155","291,945"
4/11/2010,"738,934",12.3041,"211,010,116,881","285,560"
5/11/2010,"639,285",12.2381,"233,748,024,793","365,640"
6/11/2010,#VALOR!,N/E,N/E,N/E
7/11/2010,#VALOR!,N/E,N/E,N/E
8/11/2010,"775,553",12.2055,"203,710,571,833","262,665"
9/11/2010,"825,612",12.2483,"198,954,401,809","240,978"
10/11/2010,"936,291",12.2068,"231,875,153,839","247,653"
11/11/2010,"751,811",12.2714,"200,933,504,473","267,266"
12/11/2010,"470,740",12.2596,"219,106,384,393","465,451"
13/11/2010,#VALOR!,N/E,N/E,N/E
14/11/2010,#VALOR!,N/E,N/E,N/E
15/11/2010,#VALOR!,12.2626,N/E,N/E
16/11/2010,"662,560",N/E,"251,479,793,517","379,558"
17/11/2010,"957,402",12.4353,"256,922,573,257","268,354"
18/11/2010,"856,477",12.3783,"228,182,522,314","266,420"
19/11/2010,"561,843",12.2924,"203,318,517,902","361,878"
20/11/2010,#VALOR!,N/E,N/E,N/E
21/11/2010,#VALOR!,N/E,N/E,N/E
22/11/2010,"815,590",12.2996,"202,243,567,757","247,972"
23/11/2010,"882,847",12.309,"209,911,795,229","237,767"
24/11/2010,"837,718",12.4577,"192,329,058,077","229,587"
25/11/2010,"808,837",12.3912,"215,056,133,826","265,883"
26/11/2010,"641,394",12.3669,"237,780,711,377","370,725"
27/11/2010,#VALOR!,N/E,N/E,N/E
28/11/2010,1,N/E,3,3
29/11/2010,"740,847",12.489,"257,620,554,009","347,738"
30/11/2010,"544,254",12.5538,"265,412,841,789","487,664"
1/12/2010,"787,109",12.4664,"207,640,806,053","263,802"
2/12/2010,"782,429",12.3967,"207,339,674,635","264,995"
3/12/2010,"589,569",12.3546,"238,647,391,272","404,783"
4/12/2010,#VALOR!,N/E,N/E,N/E
5/12/2010,#VALOR!,N/E,N/E,N/E
6/12/2010,"737,543",12.3597,"221,630,237,249","300,498"
