Date,montoSpei,montoCodi,tc
1/10/2010,"228,644,632,951",,12.5998
2/10/2010,N/E,,N/E
3/10/2010,N/E,,N/E
4/10/2010,"190,201,482,838",,12.5511
5/10/2010,"201,833,635,796",,12.5875
6/10/2010,"180,819,816,908",,12.5099
7/10/2010,"196,511,269,088",,12.4779
8/10/2010,"192,016,470,297",,12.5277
9/10/2010,3,,N/E
10/10/2010,N/E,,N/E
11/10/2010,"173,283,689,840",,12.4895
12/10/2010,"224,815,401,397",,12.4224
13/10/2010,"200,345,710,961",,12.432
14/10/2010,"230,612,133,280",,12.3683
15/10/2010,"199,143,946,878",,12.4101
16/10/2010,N/E,,N/E
17/10/2010,N/E,,N/E
18/10/2010,"215,930,037,663",,12.4276
19/10/2010,"178,395,741,613",,12.4135
20/10/2010,"194,757,851,718",,12.4818
21/10/2010,"185,170,283,199",,12.4117
22/10/2010,"195,228,046,732",,12.3613
23/10/2010,N/E,,N/E
24/10/2010,N/E,,N/E
25/10/2010,"196,349,503,205",,12.3877
26/10/2010,"201,843,429,896",,12.3205
27/10/2010,"200,686,203,965",,12.3859
28/10/2010,"237,417,652,773",,12.4776
29/10/2010,"283,220,531,437",,12.4023
30/10/2010,N/E,,N/E
31/10/2010,N/E,,N/E
1/11/2010,"184,594,860,651",,12.3387
2/11/2010,N/E,,12.3452
3/11/2010,"203,434,615,155",,N/E
4/11/2010,"211,010,116,881",,12.3041
5/11/2010,"233,748,024,793",,12.2381
6/11/2010,N/E,,N/E
7/11/2010,N/E,,N/E
8/11/2010,"203,710,571,833",,12.2055
9/11/2010,"198,954,401,809",,12.2483
10/11/2010,"231,875,153,839",,12.2068
11/11/2010,"200,933,504,473",,12.2714
12/11/2010,"219,106,384,393",,12.2596
13/11/2010,N/E,,N/E
14/11/2010,N/E,,N/E
15/11/2010,N/E,,12.2626
16/11/2010,"251,479,793,517",,N/E
17/11/2010,"256,922,573,257",,12.4353
18/11/2010,"228,182,522,314",,12.3783
19/11/2010,"203,318,517,902",,12.2924
